aar	aa	Afar	アファル語
abk	ab	Abkhazian	アブハズ語(アプハジア語)
ace	 	Achinese	アチェ語
ach	 	Acoli; Acholi	アチョリ語
ada	 	Adangme	アダングメ語
ady	 	Adyghe; Adygei	アディゲ語
afa	 	Afro-Asiatic (Other)	セム・ハム諸語
afh	 	Afrihili	アフリヒリ語
afr	af	Afrikaans	アフリカーンス語
ain	 	Ainu	アイヌ語
aka	ak	Akan	アカン語
akk	 	Akkadian	アッカド語
alb		Albanian	アルバニア語
ale	 	Aleut	アレウト語
alg	 	Algonquian languages	アルゴンキアン語族
alt	 	Southern Altai	南アルタイ語
amh	am	Amharic	アムハラ語
ang	 	English, Old (ca.450-1100)	古期英語
anp	 	Angika	 
apa	 	Apache languages	アパッチ語族
ara	ar	Arabic	アラビア語
arc	 	Aramaic	アラム語
arg	an	Aragonese	アラゴン語
arm		Armenian	アルメニア語
arn	 	Araucanian	アラウカン語
arp	 	Arapaho	アラパホー語
art	 	Artificial (Other)	人工諸語
arw	 	Arawak	アラワク語
asm	as	Assamese	アッサム語
ast	 	Asturian; Bable	アストゥリアス語
ath	 	Athapascan languages	アサパスカン語族
aus	 	Australian languages	オーストラリア語族
ava	av	Avaric	アヴァル語
ave	ae	Avestan	アヴェスタ語
awa	 	Awadhi	アワディ語
aym	ay	Aymara	アイマラ語
aze	az	Azerbaijani	アゼルバイジャン語
bad	 	Banda	バンダ語
bai	 	Bamileke languages	バミレケ語族
bak	ba	Bashkir	バシキール語
bal	 	Baluchi	バルーチー語
bam	bm	Bambara	バンバラ語
ban	 	Balinese	バリ語
baq		Basque	バスク語
bas	 	Basa	バサ語
bat	 	Baltic (Other)	バルト諸語
bej	 	Beja	ベジャ語
bel	be	Byelorussian; Belorussia	白ロシア語(ベラルーシ語)
bem	 	Bemba	ベンバ語
ben	bn	Bengali	ベンガル語
ber	 	Berber (Other)	ベルベル諸語
bho	 	Bhojpuri	ボージプリー語
bih	bh	Bihari	ビハール語
bik	 	Bikol	ビコル語
bin	 	Bini	ビニ語
bis	bi	Bislama	ビスラマ語
bla	 	Siksika	シクシカ語
bnt	 	Bantu (Other)	バントゥ諸語
bod	bo	Tibetan	チベット語
bos	bs	Bosnian	ボスニア語
bra	 	Braj	ブラジ語
bre	br	Breton	ブルトン語(ブルターニュ語)
btk	 	Batak (Indonesia)	バタク語
bua	 	Buriat	ブリアット語
bug	 	Buginese	ブギ語
bul	bg	Bulgarian	ブルガリア語
bur		Burmese	ビルマ語
byn	 	Blin; Bilin	ビリン語
cad	 	Caddo caddo	カドー語
cai	 	Central American Indian (Other)	中米インディアン諸語
cam	 	(khmの旧コード)	
car	 	Carib	カリブ語
cat	ca	Catalan; Valencian	カタルーニャ語(カタロニア語)
cau	 	Caucasian (Other)	コーカサス諸語
ceb	 	Cebuano	セブアノ語
cel	 	Celtic (Other)	ケルト諸語
ces	cs	Czech	チェコ語
cha	ch	Chamorro	チャモロ語
chb	 	Chibcha	チブチャ語
che	ce	Chechen	チェチェン語
chg	 	Chagatai	チャガタイ語
chi		Chinese	支那語
chk	 	Chuukese; Trukese	チューク語
chm	 	Mari	マリ語
chn	 	Chinook jargon	ビーチ・ラ・マー等
cho	 	Choctaw	チョクトー語
chp	 	Chipewyan	チペワイアン語
chr	 	Cherokee	チェロキー語
chu	cu	Church Slavic	教会スラブ語
chv	cv	Chuvash	チュヴァシュ語
chy	 	Cheyenne	シャイアン語
cmc	 	Chamic languages	チャム諸語
cop	 	Coptic	コプト語
cor	kw	Cornish	コーンウォール語
cos	co	Corsican	コルシカ語
cpe	 	Creoles and pidgins, English based (Other)	英語基盤の混成語
cpf	 	Creoles and pidgins, French-based (Other)	フランス語基盤の混成語
cpp	 	Creoles and pidgins, Portuguese-based (Other)	ポルトガル語基盤の混成語
cre	cr	Cree	クリー語
crh	 	Crimean Tatar; Crimean Turkish	クリミアタタール語(クリミアトルコ語)
crp	 	Creoles and pidgins (Other)	混成語
csb	 	Kashubian	カシュビアン語
cus	 	Cushitic (Other)	クシュ諸語
cym	cy	Welsh	ウェールズ語
cze		Czech	チェコ語
dak	 	Dakota	ダコタ語
dan	da	Danish	デンマーク語
dar	 	Dargwa	ダルグヮ語
day	 	Dayak	ダヤク語
del	 	Delaware	デラウェア語
den	 	Slave (Athapascan)	スレイビー語(アサパスカン)
deu	de	German	ドイツ語
dgr	 	Dogrib	ドグリブ語
din	 	Dinka	ディンカ語
div	dv	Divehi; Dhivehi; Maldivian	ディベヒ語
doi	 	Dogri	ドグリ語
dra	 	Dravidian (Other)	ドラヴィダ諸語
dsb	 	Lower Sorbian	下ソルブ語
dua	 	Duala	ドゥアラ語
dum	 	Dutch, Middle (ca.1050-1350)	中世オランダ語
dut		Dutch; Flemish	オランダ語
dyu	 	Dyula	デュラ語(デゥウラ語)
dzo	dz	Dzongkha	ゾンカー語(ブータン語)
efi	 	Efik	エフィク語
egy	 	Egyptian (Ancient)	エジプト語
eka	 	Ekajuk	エカジュク語
ell	el	Greek, Modern (1453-)	現代ギリシャ語
elx	 	Elamite	エラム語
eng	en	English	英語
enm	 	English, Middle (1100-1500)	中世英語
epo	eo	Esperanto	エスペラント
est	et	Estonian	エストニア語
eth	 	(gezの旧コード)	
eus	eu	Basque	バスク語
ewe	ee	Ewe	エウェ語
ewo	 	Ewondo	エウォンド語
fan	 	Fang	ファング語
fao	fo	Faroese	フェロー語
far	 	(faoの旧コード)	
fas	fa	Persian; Falsi	ペルシャ語
fat	 	Fanti	ファンティー語
fij	fj	Fijian	フィジー語
fil	 	Filipino; Pilipino	フィリピノ語
fin	fi	Finnish	フィン語
fiu	 	Finno-Ugrian (Other)	フィン・ウゴル諸語
fon	 	Fon	フォン語
fra		French	フランス語
fre	fr	French	フランス語
fri	 	(fryの旧コード)	
frm	 	French, Middle (ca.1400-1600)	中世フランス語
fro	 	French, Old (842-ca.1400)	古フランス語
frr	 	Northern Frisian	北フリジア語
frs	 	Eastern Frisian	東フリジア語
fry	fy	Western Frisian	(西)フリジア語
ful	ff	Fulah	フラ語
fur	 	Friulian	フリウリ語
gaa	 	Gã	ガ語
