infinity	∞
forall	∀
exist	∃
partical	∂
angle	∠
bot	⊥
nabla	∇
sim	～
logicaland	∧
logicalor	∨
negate	￢
frown	⌒
subset	⊂
supset	⊃
subsetequal	⊆
supsetequal	⊇
in	∈
own	∋
equivalent	≡
ll	≪
gg	≫
notequal	≠
therefore	∴
because	∵
cup	∪
cap	∩
times	×
divide	÷
plusmn	±
sum	Σ
flat	♭
sharp	♯
natural	♮
quaternote	♩
eighthnote	♪
para	¶
sect	§
dag	†
ddag	‡
vertical	∥
cdots	…
rightarrow	→
leftarrow	←
hearts	♥
whitehearts	♡
spades	♠
whitespades	♤
diamonds	♦
whitediamonds	♢
clubs	♣
whiteclubs	♧
Alpha	Α
Beta	Β
Gamma	Γ
Delta	Δ
Epsilon	Ε
Zeta	Ζ
Eta	Η
Theta	Θ
Iota	Ι
Kappa	Κ
Lambda	Λ
Mu	Μ
Nu	Ν
Xi	Ξ
Omicron	Ο
Pi	Π
Rho	Ρ
Sigma	Σ
Tau	Τ
Upsilon	Υ
Phi	Φ
Chi	Χ
Psi	Ψ
Omega	Ω
alpha	α
beta	β
gamma	γ
delta	δ
epsilon	ε
zeta	ζ
eta	η
theta	θ
iota	ι
kappa	κ
lambda	λ
mu	μ
nu	ν
xi	ξ
omicron	ο
pi	π
rho	ρ
varsigma	ς
sigma	σ
tau	τ
upsilon	υ
phi	φ
chi	χ
psi	ψ
omega	ω
thetasym	ϑ
upsih	ϒ
piv	ϖ
nbsp	 
iexcl	¡
cent	¢
pound	£
curren	¤
yen	¥
brvbar	¦
uml	¨
copy	©
ordf	ª
laquo	«
not	¬
shy	­
reg	®
macr	¯
deg	°
sup2	²
sup3	³
acute	´
micro	µ
middot	·
cedil	¸
sup1	¹
ordm	º
raquo	»
frac14	¼
frac12	½
frac34	¾
iquest	¿
Agrave	À
Aacute	Á
Acirc	Â
Atilde	Ã
Auml	Ä
Aring	Å
AElig	Æ
Ccedil	Ç
Egrave	È
Eacute	É
Ecirc	Ê
Euml	Ë
Igrave	Ì
Iacute	Í
Icirc	Î
Iuml	Ï
ETH	Ð
Ntilde	Ñ
Ograve	Ò
Oacute	Ó
Ocirc	Ô
Otilde	Õ
Ouml	Ö
Oslash	Ø
Ugrave	Ù
Uacute	Ú
Ucirc	Û
Uuml	Ü
Yacute	Ý
THORN	Þ
szlig	ß
agrave	à
aacute	á
acirc	â
atilde	ã
auml	ä
aring	å
aelig	æ
ccedil	ç
egrave	è
eacute	é
ecirc	ê
euml	ë
igrave	ì
iacute	í
icirc	î
iuml	ï
eth	ð
ntilde	ñ
ograve	ò
oacute	ó
ocirc	ô
otilde	õ
ouml	ö
oslash	ø
ugrave	ù
uacute	ú
ucirc	û
uuml	ü
yacute	ý
thorn	þ
yuml	ÿ
Amacron	Ā
amacron	ā
Abreve	Ă
abreve	ă
Aogonek	Ą
aogonek	ą
Cacute	Ć
cacute	ć
Ccirc	Ĉ
ccirc	ĉ
Codot	Ċ
codot	ċ
Ccaron	Č
ccaron	č
Dcaron	Ď
dcaron	ď
Dcross	Đ
dcross	đ
Emacron	Ē
emacron	ē
Eodot	Ė
eodot	ė
Eogonek	Ę
eogonek	ę
Ecaron	Ě
ecaron	ě
Gcirc	Ĝ
gcirc	ĝ
Gbreve	Ğ
gbreve	ğ
Godot	Ġ
godot	ġ
Gcedil	Ģ
gcedil	ģ
Hcirc	Ĥ
hcirc	ĥ
Hcross	Ħ
hcross	ħ
Itilde	Ĩ
itilde	ĩ
Imacron	Ī
imacron	ī
Ibreve	Ĭ
ibreve	ĭ
Iogonek	Į
iogonek	į
Iodot	İ
idotless	ı
IJlig	Ĳ
ijlig	ĳ
Jcirc	Ĵ
jcirc	ĵ
Kcedil	Ķ
kcedil	ķ
Kra	ĸ
Lacute	Ĺ
lacute	ĺ
Lcedil	Ļ
lcedil	ļ
Lcaron	Ľ
lcaron	ľ
Lslash	Ł
lslash	ł
Nacute	Ń
nacute	ń
Ncedil	Ņ
ncedil	ņ
Ncaron	Ň
ncaron	ň
ENG	Ŋ
eng	ŋ
Omacron	Ō
omacron	ō
Owacute	Ő
owacute	ő
OElig	Œ
oelig	œ
Racute	Ŕ
racute	ŕ
Rcedil	Ŗ
rcedil	ŗ
Rcaron	Ř
rcaron	ř
Sacute	Ś
sacute	ś
Scirc	Ŝ
scirc	ŝ
Scedil	Ş
scedil	ş
Scaron	Š
scaron	š
Tcedil	Ţ
tcedil	ţ
Tcaron	Ť
tcaron	ť
Tbar	Ŧ
tbar	ŧ
Utilde	Ũ
utilde	ũ
Umacron	Ū
umacron	ū
Ubreve	Ŭ
ubreve	ŭ
Uring	Ů
uring	ů
Uwacute	Ű
uwacute	ű
Uogonek	Ų
uogonek	ų
Yuml	Ÿ
Zacute	Ź
zacute	ź
Zodot	Ż
zodot	ż
Zcaron	Ž
zcaron	ž
Acaron	Ǎ
acaron	ǎ
Icaron	Ǐ
icaron	ǐ
Ocaron	Ǒ
ocaron	ǒ
Ucaron	Ǔ
ucaron	ǔ
Uumlmacr	Ǖ
uumlmacr	ǖ
Uumlacute	Ǘ
uumlacute	ǘ
Uumlcaron	Ǚ
uumlcaron	ǚ
Uumlgrave	Ǜ
uumlgrave	ǜ
caron	ˇ
breve	˘
odot	˙
ogonek	˛
wacute	˝
wavedash	〜
